train_input_1,train_input_2,train_output_1
-3.438429559021344,33,29.561570440978656
-95.2231134418704,53,-42.223113441870396
88.13649699446617,-62,26.13649699446617
-53.22324223942201,96,42.77675776057799
-16.300675376934848,9,-7.300675376934848
35.847624472706855,-68,-32.152375527293145
-39.166552678350456,14,-25.166552678350456
9.17422320949575,-47,-37.82577679050425
84.04656728984412,25,109.04656728984412
-68.00895091373306,-83,-151.00895091373306
48.053941109851706,68,116.0539411098517
63.18245470939857,47,110.18245470939857
31.819491116167313,18,49.81949111616731
-6.565776842101442,-34,-40.56577684210144
-4.215466871092133,94,89.78453312890787
89.25926490229978,3,92.25926490229978
-0.12821921457594954,-8,-8.12821921457595
9.335565170371666,44,53.335565170371666
46.67138497641733,24,70.67138497641733
-46.35255629512913,-64,-110.35255629512913
28.50130299957678,43,71.50130299957678
-20.974068122086848,-43,-63.97406812208685
-34.589843495595346,-6,-40.589843495595346
-4.879124934443581,89,84.12087506555642
-73.56729974733061,-51,-124.56729974733061
